Qty,Reference(s),Value,Footprint,JLC Part,LCSC Part,Manufacturer Part
6,"C1, C3, C12, C16, C23, C24",4.7uF,lib:C_0402_1005Metric,C23733,C368809,CL05A475KP5NRNC
4,"C2, C10, C13, C15",100nF,lib:C_0402_1005Metric,C1525,C1525,CL05B104KA5NNNC
3,"C4, C17, C22",1uF,lib:C_0402_1005Metric,C52923,C52923,CL05A105KO5NNNC
1,C5,100pF,lib:C_0402_1005Metric,C1546,C26409,CL05C101JB5NNNC
1,C6,1.5pF,lib:C_0402_1005Metric,C1552,C170150,CL05C1R5CB5NNNC
1,C7,1nF,lib:C_0402_1005Metric,C1525,C1525,CL05B104KA5NNNC
4,"C8, C9, C19, C20",15pF,lib:C_0402_1005Metric,C1548,C307341,CL05C150JB51PNC
1,C11,1.2pF,lib:C_0402_1005Metric,C1550,C371977,CL05C010CB5NNNC
1,C14,1.0pF,lib:C_0402_1005Metric,C1550,C371977,CL05C010CB5NNNC
1,C18,47nF,lib:C_0402_1005Metric,C26403,C307434,CL05B473KO5NNNC
1,C21,10nF,lib:C_0402_1005Metric,C15195,C15195,CL05B103KB5NNNC
1,C25,N.C,lib:C_0402_1005Metric,C1550,C371977,CL05C010CB5NNNC
2,"D1, D2",LED_Dual_KKA,lib:LED-ARRAY-SMD_3P-L3.0-W2.0-L-FD,,C605447,12-22/BHR6C-A01/2C
1,J1,USB_B_Micro,lib:MICRO-USB-SMD_U-C-M5DD-W-1,,C145798,U-C-M5DD-W-1
1,J2,Battery Connector,lib:Molex_Pico-EZmate_78171-0002_1x02-1MP_P1.20mm_Vertical,C505023,C505023,Molex_Pico-EZmate_78171-0002
1,L1,4.7nH,Inductor_SMD:L_0402_1005Metric,C14033,C76775,MLG1005S3N9BT000
1,L2,15nH,Inductor_SMD:L_0402_1005Metric,C27143,C76763,MLG1005S15NJT000
2,"L3, L4",10uH,Inductor_SMD:L_0402_1005Metric,C1035,C76732,MLF1608E100KTD00
1,L5,2.2nH,Inductor_SMD:L_0402_1005Metric,C14033,C76775,MLG1005S3N9BT000
1,R1,0R,lib:R_0402_1005Metric,C17168,C106231,RC0402FR-070RL
3,"R2, R10, R11",10k,lib:R_0402_1005Metric,C25744,C60490,RC0402FR-0710KL
1,R3,3.9k,lib:R_0402_1005Metric,C51721,C131467,RC0402FR-073K9L
1,R4,1.5k,lib:R_0402_1005Metric,C114759,C114759,RC0402FR-071K5L
1,R5,10M,lib:R_0402_1005Metric,C26082,C138067,RC0402FR-0710ML
2,"R6, R7",2M,lib:R_0402_1005Metric,C138014,C138014,RC0402FR-072ML
1,SW1,SW_Reset,lib:Panasonic_EVQPUL_EVQPUC,C79174,C79174,EVQPUC02K
1,SW2,SW_ON/OFF,lib:SK3296S01L3,C319019,C319019,SK-3296S-01-L3
1,U1,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U2,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U3,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U4,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U5,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U6,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U7,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U8,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U9,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U10,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U11,nRF52840,Package_DFN_QFN:Nordic_AQFN-73-1EP_7x7mm_P0.5mm,C1851953,C1851953,NRF52840-QIAA-R
1,U12,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U13,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U14,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U15,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U16,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U17,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U18,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U19,Hot-swap_socket_-_PG151101S11,lib:Kailh_socket_PG1350,C2803348,C2803348,CPG151101S11
1,U20,ESDR0502NMUTAG,lib:ESDR0502NMUTAG,C327480,C327480,ESDR0502NMUTBG
1,U21,BQ24075RGT,lib:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C15464,C15464,BQ24075RGTR
1,Y1,32MHz,lib:Crystal_SMD_2016-4Pin_2.0x1.6mm,C255896,C255896,Q22FA1280001800
1,Y2,32.768 kHz,lib:Crystal_SMD_2012-2Pin_2.0x1.2mm,C93231,C97607,SC20S-12.5PF20PPM
